제목,링크,내용
<b>커피</b>,https://terms.naver.com/entry.naver?docId=1149629&cid=40942&categoryId=32127,커피나무에서생두를수확하여가공공정을거쳐볶은후한가지혹은두가지이상의원두를섞어추출하여음용하는기호음료이다독특한풍미를가진갈색에가까운기호음료이다커피나무
<b>커피</b>,https://terms.naver.com/entry.naver?docId=1051990&cid=48181&categoryId=48261,커피나무의열매를볶아서간가루카페인을함유하고있으며독특한향기가있어차의원료로널리애용되고과자나음료수의복합원료로도많이쓴다발자크문학적이유가아니라결혼하기위해글을
<b>커피</b>,https://terms.naver.com/entry.naver?docId=3572338&cid=58988&categoryId=58988,년대들어서부터사람들이모이는장소에커피한잔은빼놓을수없을정도로커피는대중적인음료로자리잡았다이제는프랜차이즈커피전문점이개가넘어섰을정도로커피에대한관심이
<b>커피</b>,https://terms.naver.com/entry.naver?docId=962356&cid=48181&categoryId=48261,||||음식명||분량||나트륨||식이섬유||열량|||에스프레소|잔||||||||음식명||분량||나트륨||식이섬유||열량|||마키아토
<b>커피</b>를 마시면 왜 졸리지 않을까요?,https://terms.naver.com/entry.naver?docId=1526635&cid=47337&categoryId=47337,교과연계표||구분||학년||단원|||중학교|학년|우리주위의화합물|우리나라최초로커피를마신사람은고종임금이었습니다일본의박해가심해지자잠시러시아공관에서생활할때커피를
<b>커피</b>,https://terms.naver.com/entry.naver?docId=2834647&cid=56755&categoryId=56755,커피는세계인구의이애음하는데그대중성은카페인에의해발생하는흥분효과때문이다카페인은알칼로이드의일종으로아라비카종의커피에는로부스타종에는가각각함유되어
<b>커피</b>,https://terms.naver.com/entry.naver?docId=4368747&cid=59926&categoryId=59926,이탈리아어카페터키어카베아랍어카화에서영어의커피가유래했다카홧알분은아랍어로콩으로빚은술이라뜻이다커피에대한역사는원두로부터
<b>커피</b>(음료),https://terms.naver.com/entry.naver?docId=5740375&cid=63025&categoryId=63777,가루로분쇄한커피원두를우려낸음료로블랙커피아침식사로즐겨마시는카페오레또는크림을넣은커피저녁에도부담없이마실수있는디카페인커피에스프레소커피등종류가다양하다전세계
<b>커피</b>,https://terms.naver.com/entry.naver?docId=5740353&cid=48183&categoryId=48282,꼭두서니과에속하는소관목인커피나무열매속의씨앗으로원산지는에티오피아다커피나무의열매는작은체리모양으로붉은색을띠고있다커피의역사같은이름의음료인커피가발명되고그
<b>커피</b>는 유럽에서 처음 마시기 시작했다?,https://terms.naver.com/entry.naver?docId=1846030&cid=48181&categoryId=48261,커피가우리나라에처음등장한것은년경이다년아관파천당시러시아공사관으로피신했던고종황제가러시아공사웨베르의권유로커피를처음마셨다고전해진다그뒤궁으로돌아온
아프리카에서 아라비아를 거쳐 브라질까지 온 <b>커피</b>,https://terms.naver.com/entry.naver?docId=1525834&cid=47335&categoryId=47335,커피의원산지는아프리카의에티오피아이다에티오피아에서커피는염소의도움으로발견되었다고한다아프리카에티오피아에사는한양치기가염소를방목하면서어느날평소와는달리비정상적으로
<b>커피</b>,https://terms.naver.com/entry.naver?docId=530255&cid=46672&categoryId=46672,커피나무의종자를볶아서만든가루내용그독특한방향으로널리애음되고있다인류가언제부터커피를마시게되었는지확실하지않다회교의가르침에서술을금지하고있으므로
<b>커피</b>음료,https://terms.naver.com/entry.naver?docId=1721781&cid=48181&categoryId=48261,커피음료이야기최근음료시장의대세는커피음료라고할만큼시장규모가커지면서새로운상품들이우후죽순으로쏟아져나오고있다커피음료하면단순히인스턴트커피로만들었거나원두커피그
<b>커피</b>,https://terms.naver.com/entry.naver?docId=1053449&cid=48181&categoryId=48261,커피의사전적정의는기호품이다국어사전을펼쳐보면기호품이란영양을취하려는것이아니라향기나맛또는자극을즐기기위한것이라고나와있다그러나커피없는하루를상상할수있을까
<b>커피</b>,https://terms.naver.com/entry.naver?docId=463851&cid=48181&categoryId=48261,커피역사의시발에대한확실한문헌은없으나대략의개요를살펴보면커피의원산지는에티오피아로알려져있다에티오피아원산의커피나무열매는본고장에서는음료로보다는곡류나콩종류같이
<b>커피</b>,https://terms.naver.com/entry.naver?docId=385343&cid=48181&categoryId=48261,커피나무열매의씨를볶아서만든원두나가루를원료로한음료로독특한맛과향을지닌기호음료이다어원은아랍어인카파로서힘을뜻하며에티오피아에서는커피나무가야생하는곳을
<b>커피</b>,https://terms.naver.com/entry.naver?docId=876012&cid=42645&categoryId=42645,칸디도포르티나리는상파울루근교의커피농장에서이탈리아이민자의아들로태어났다그는리우데자네이루와파리에서미술을공부했으며많은동료들과마찬가지로프랑스모더니즘의영향을
<b>커피</b>,https://terms.naver.com/entry.naver?docId=2054331&cid=48181&categoryId=48261,생성시기에티오피아세기경아라비아세기경유럽년한국조선년고종년유래에티오피아가원산지인커피는아라비아에전해지면서이들이오랫동안커피산업을독점했다
<b>커피</b>,https://terms.naver.com/entry.naver?docId=1698500&cid=49046&categoryId=49046,커피나무의씨앗사람들이매우좋아하는음료이다뜨겁거나차게냉커피마신다각성물질이들어있다고알려져있다생커피콩생커피콩은몇년동안신선함이유지되지만볶은커피콩은향이빨리
