제목,링크,내용
<b>커피</b>&바닐라 14,http://book.naver.com/bookdb/book_detail.php?bid=20870131,인기많은여대생리사주위로부터는꺾기힘든꽃취급을받지만사실은연애경험이전무한숙맥연애를한다면녹아내릴듯달콤한사랑을원해그렇게꿈꾸던리사의눈앞에정장이잘어울리는멋진어른남자가나타나는데
<b>커피</b> 세계사+한국 가배사,http://book.naver.com/bookdb/book_detail.php?bid=20851064,교육학자가쓴흥미진진한커피역사책이다오리엔탈리즘으로물든서구적시각의커피역사에대한도전이다커피기원전설은어떻게탄생하고왜곡되었을까대용커피와가짜커피는어떻게탄생하였을까
<b>커피</b> Coffee 2021.4 (SPECIAL EDITIONㆍGREEN BEAN),http://book.naver.com/bookdb/book_detail.php?bid=18832599,월간커피는커피전문잡지로커피에대한정보를소개하는것에그치지않고전반적인커피시장에대해다루고있으며성공적인운영노하우등을공유한다
<b>커피</b> 스터디 (<b>커피</b> 박사 호리구치 선생님의 현장 레슨 12강!),http://book.naver.com/bookdb/book_detail.php?bid=20739115,년넘게커피맛의비밀을추적해온호리구치토시히데선생이년만에선보이는커피탐구서이다주로관능평가에초점을맞추었던전작들과달리생두의품질에영향을미치는요인들을살피는것부터시작해화학적데이터로보는커피품질로스팅이후의추출과테이스팅노하우다양한블렌딩
<b>커피</b> Coffee 2021.1,http://book.naver.com/bookdb/book_detail.php?bid=17717278,월간커피는전문잡지로커피에대한정보를소개하는것에그치지않고전반적인커피시장에대해다루고있으며성공적인운영노하우등을공유한다
즐거워, 빵과 <b>커피</b>가 있으면 (매일 가고 싶은 빵집·카페 78곳),http://book.naver.com/bookdb/book_detail.php?bid=20870215,하루가행복해지는작은여행전국빵집카페투어향긋한빵내음구수한커피향으로하루를시작하는당신에게추천합니다만팔로워의선택카페분야인스타그래머브레드이터가찾아낸맛있는빵과커피그리고영감을주는공간들좋아요만팔로워만이선택한카페분야인스타그래머
<b>커피</b>인문학 (<b>커피</b>는 세상을 어떻게 유혹했는가?),http://book.naver.com/bookdb/book_detail.php?bid=12548038,커피의무엇이인류를이토록매혹시키는걸까인류는커피를사랑한다커피는우리에게맛과향뿐만아니라그뛰어난향미만큼풍성한이야기를피워내는묘한마력을지녔다그래서커피를신이빚어낸음료라고말한다커피인문학에서는커피에대한교양과상식을전달하고커피를이야기할때
<b>커피</b> 한 잔의 명상으로 10억을 번 사람들 (성공한 사람들의 100가지 명상),http://book.naver.com/bookdb/book_detail.php?bid=15910114,잠재의식의대가조셉머피박사의어록중에서가지를간추려예화를곁들인책세계적인정신의학자이자잠재의식의권위자인조셉머피박사의어록중에서가지의핵심만을뽑아놓은책이다이책은많은머피이론즉잠재의식관련서중에서가장오랫동안스테디셀러를기록하고있다자칫
<b>커피</b>를 좋아하면 생기는 일,http://book.naver.com/bookdb/book_detail.php?bid=17580135,커피가좋아서전세계커피산지곳곳을누비며살게된사람커피리브레서필훈대표의무모하고진지한덕업일치스토리커피를좋아하면생기는일은세계적으로손꼽히는스페셜티커피전문가커피리브레서필훈대표의산문으로커피로인해그가겪어온범상치않은이야기들이담겼다
<b>커피</b> 바리스타 기본서(NCS(국가직무능력표준/<b>커피</b>관리))(개정판) (개정판),http://book.naver.com/bookdb/book_detail.php?bid=16390989,국가직무능력표준커피관리에기반을둔커피바리스타기본교재기반커피바리스타기본서는사단법인한국커피협회의국가직무능력표준개발팀이해당교과과정의직무능력향상에도움이되는필수적인체제적교육과정을연구개발하고산업현장의직무요구사항을분석하여조리외식분야
