제목,링크,내용
녹색교통지역 내 ‘<b>나눔카</b>’ 전기차로 100% 전환,https://blog.naver.com/120seoulcall?Redirect=Log&logNo=221939236358,오는 년까지 녹색교통지역 내 나눔카를  전기차로 전환할 계획이다 서울시는 대기질 개선 및 확대설치를 통해 시민들의 충전 불편이 해소되는 것은 물론 전기차 보급도 보다 활성화 될 것으로 
서울시의회, 시정질문을 통해 <b>나눔카</b> 전용 주차구역 및... ,https://blog.naver.com/seoulcouncil?Redirect=Log&logNo=221632349271,그리고 서울시민의 오랜 불편인 주차문제도 해결하기 위해 다양한 방안을 고려하겠습니다 이미지서울시청 홈페이지 나눔카 승용차공동이용 쏘카 그린카 나눔카전용주차장 공유주차장 서울시의회
녹색교통지역 내 ‘<b>나눔카</b>’ 전기차로 100% 전환,https://blog.naver.com/kuenyoun?Redirect=Log&logNo=221945608938,녹색교통지역 내 나눔카 전기차로  전환 내 손안에 서울    복사 인쇄 확대설치를 통해 시민들의 충전 불편이 해소되는 것은 물론 전기차 보급도 보다 활성화 될 것으로 
[5.11.] 신길지하차도 구조개선 현장답사 / ㈜쏘카 <b>나눔카</b>... ,https://blog.naver.com/ydp2018?Redirect=Log&logNo=221967038900,현장에서 구민의 목소리에 귀기울여 구민 생활불편 개선에 더욱 힘쓰겠습니다 쏘카 나눔카 활성화 업무협약  공유차량 선두기업인 쏘카와 업무협약 맺었습니다 박재욱 쏘카 대표이사님을 비롯한 
차알못이 쓰는 <b>나눔카</b> 쏘카(Socar)로 타본 2021 현대 더 뉴... ,https://blog.naver.com/wjsxla01?Redirect=Log&logNo=222421474265,있어서 불편한 점은 나름 없다고 생각합니다 조수석 앞모습인데 이또한ㅎㅎㅎㅎ 큰차이는 없습니다 이전의 코나 링크도 같이 달아드립니다 한번 같이 보시고 비교해보시면 더욱 좋을 것 같습니다 이 
함께 타는 <b>나눔카</b>! 내 차처럼 편리하게 이용하세요!,https://blog.naver.com/gwanak_gu?Redirect=Log&logNo=221650474075,배치  나눔카 이용  문의  교통행정과    이용차량  일반차 전기차 선택 가능 나눔카 카셰어링 함께타는나눔카 관악구청교통행정과 쏘카 그린카 서울시교통정보센터 
언제 어디에서나 그냥 타면 돼, 서울시 <b>나눔카</b>,https://blog.naver.com/kecoprumy?Redirect=Log&logNo=221378032226,친환경 나눔카를 확대해 시민들이 친환경 차량을 친숙하게 느끼고 이용에 불편이 없도록 관리해 나가겠다고 합니다 혹시 이번주에 자동차를 이용해 나들이 가실 계획이신가요 그렇다면 나눔카를 
서울시 <b>나눔카</b>( 그린카 ),https://blog.naver.com/fallskya?Redirect=Log&logNo=100183400464,서울시 나눔카  서울시에서 운영하는 자동차 쉐어링 서비스인데요 생각보다 그린카가 주차된 그린존이 꽤 많습니다 저는 차가 있었지만 서울에서 자동차가 편리함보다 불편함이 더 많다는 걸 느끼고 
언제 어디서나 내차처럼 편리하게 - <b>나눔카</b>,https://blog.naver.com/happysongpa?Redirect=Log&logNo=221384762716,바로 나눔카입니다 쏘카 그린카 출처 쏘카 블로그 나눔카는 필요한 시간만큼 분 단위로 이용할 수 있어요ㅇ 나눔카를 이용하면 어떤 점이 좋을까요 개인에겐 서비스 이용 한번이지만 아주 큰 
[서울시뉴스] ‘<b>나눔카</b> 서비스’ 만 21세, 운전경력 1년... ,https://blog.daum.net/eban02/15964849,공식명칭인 나눔카는 나누다와 카를 조합하여 차를 함께 나누어 사용한다는 의미로 시민 서울시는 시민들이 나눔카를 이용하는데 불편이 없도록 이들 홈페이지를 통해 불편 및 제안사항을 
