,0
0,동네에서 가까운곳에있는분이랑 거래할수있어서 좋습니다 지역설정 거래카테고리   후기기능 채팅창이용 뱃지기능까지 다양한 기능들에서 만족감이 상당히 괜찮네요 개인적으로 중고나라보다 이용하기가 편해서 저는 당근을 요즘 더 선호합니다 오늘 친절하고 성격좋으신분과 가까운동네에서 거래를 잘하게되서 행복하네요  좋은어플 만들어주셔서 감사합니다 
1,평소 당근마켓을 애용하고있는 애용자 입니다  얼마전에는 채팅과 키워드 알림음 설정을 다르게 할수있게 해 주어서 더 편리하게 사용하고 있어요  그런데 가끔씩 알림음이 먹통일 때가 있어요 알림설정이 다 정상적으로 되어 있는데도 말이죠 로그아웃을 하고 다시 로그인을 하라고해서 로그아웃을 했는데 이번엔 로그인이 안되네요  로그인 인증번호를 확인해서 입력하려고 당근을 열면 인증창이 나타나질 않고 로그인상태로 열리고 알림음은 여전히 먹통 입니다  알림이 먹통이니 너무 답답합니다  해결책좀 주세요 
2,아직도 프로그램 수정이 안되었나요  개발자님  아직도  왜 버그가 났는지 모르시는지요  최신 버젼이 에러가 많이 납니다  원래 채팅방에서 자주 쓰는 문구 사용이 안되나요  전에 등록해 놓은게 모두 사라지고  다시 등록이 안됩니다  확인 부탁드립니다 
3,나눔 해주시는 분도 있고 대부분 친절하셔서 좋아요  가끔 채팅을 안 보시는 분도 있고 답장이 많이 느리신 분도 있지만 그래도 물건을 더 저렴하게 살수 있고 동네 사람들과 친해질 수도 있어서 정말 괜찮은 앱이에요  저도 물건을 팔면서 유용하게 사용하고 있습니다  아직 하나도 못 팔았지만 ㅋㅎ
4,당근마켓 잘사용하고있어요  근데 이번에 업뎃으로 최근 검색어가  개밖에 노출이 안되더군요  예전엔 이전 기록들 모두 알수있어서 참 좋았는데  불편함이 느껴지네요 다시 최근 검색어 히스토리 돌리실 계획은 없으신지 
5,당근마켓 너무 좋습니다   필요 없는 물건들이 집에서 자리를 너무 많이 차지할 때가 많습니다   그 물건이 누군가에게 필요한 물건일 수도 있으니 그냥 버리지 말고 당근 올리면   용돈이 됩니다   그리고 멀리 가야 살 수 있는 물건을 가까운 곳에서 또 저렴하게 구할 수 있어서 너무 좋습니다  
6, 년  월  일까지 이용이 제한되었다고하면서 로그인 진행이안되는데 고객센터 문의해도 풀어주지도 않고 정말별로입니다  예전에 쓰고 다시 로그인하는 과정에서 뭔가 문제가생긴것 같은데  어플관리를 어떻게하시는건지요 
7,최근 검색어 문제로 오늘 문의를 드렸고  안내를 해주셔서 말씀해주신 대로 앱을 삭제하고 다시 깔았고  로그인을 했습니다  헌데 제 아이디나 어떤 다른 방법으로 로그인을 할 수가 없네요  일단 전화번호로 로그인을 했는데 로그아웃 버튼을 눌러도 로그아웃은 되지 않고 계속 대기상태가 됩니다  문제가 뭐죠  지금 계속 시도를 해보느라 설치 삭제를 반복하다보니 로그인을 몇번 했는데 다시 해보니  번 이상은 불가라고 뜨네요  아  오늘 거래 약속이 있었는데 어떻게 하죠  답변 부탁드리겠습니다 
8,상대방 상태표시가 활성화되어있음 좋겠습니다  상대가 일부러 대화를 무시하는건지 진짜 접속안하는건지 판별이 안가네요  찔러보기 남용하시는 분들에게 해당되어야 한다고 생각합니다 
9,별 다섯개 줘도 아깝진 않지만  한번씩 멈춘다고 해야할까 보고자하는 물품을 검색하면 목록이 뜨는데 목록을 내리면서 자주 멈췄다가 다시 내려지고  반복되네요  이것빼곤 다 좋아요 
