제목,내용
서울시  올해 미세먼지 집중관리구역 관악 광진 성동 신규 지정,미세먼지 집중관리구역으로 지정된 자치구는 미세먼지 저감과 어린이  노인 등 취약계층 건강 보호를 위해    서울시는  20년도에 지정한 미세먼지 집중관리구역인 금천 영등포 동작 은평 서초 중구 6개 지역에 올해   
서울시   미세먼지 집중관리구역 에 맞춤형 저감사업,건강을 보호하기 위한 안심구역을 말한다  먼저 금천구에는 어린이시설과 노인복지시설  금천복지센터에 창호 부착형 환기시설 7개   스마트 에어샤워 1개   에어커튼 4개   식물벽 5개   미세먼지 쉼터 1개  등을 설치할   
서대문구 독립공원서  별 하나에 순간  야외 전시회 개최,금천구 구청장 유성훈 는 추석 명절을 앞두고 결식아동을 위한  동네방네 행복카드  지원 사업을    아울러 구는 경동어린이집을 어린이 보호구역으로 신규 지정  기존에 지정한 신당초와 청구초 주변도 지정 구역을   
서울시  관악 광진 성동  미세먼지 집중관리구역  지정 추진, 미세먼지 집중관리구역 은 어린이 노인 등이 이용하는 시설이 집중된 지역을  미세먼지 집중관리구역    건강을 보호하기 위한 안심구역이다  서울시는 지난해 금천 영등포 동작 은평 서초 중구 6곳을 미세먼지   
서울시  개학맞이 2021년 어린이보호구역 종합대책 발표,어린이보호구역 조성을 목표로 한다  시는  2021년 서울시 어린이보호구역 종합대책 을 발표하고  시설    이외에도 금천구 시흥초  송파구 잠전초  구로구 성은어린이집  강서구 가양초  은평구 녹번초  중랑구 신현초   
서울시  어린이보호구역 CCTV 연말까지 1000대로 늘린다, 민식이법  시행 2년 맞아  2021년 서울시 어린이보호구역 종합대책  발표    서울 서초구 이수초등학교    이밖에도 금천구 시흥초  송파구 잠전초  구로구 성은어린이집  강서구 가양초  은평구 녹번초  중랑구 신현초   
서울시  미세먼지 집중관리구역  은평 서초 중구  저감사업 추진,건강을 보호하기 위한 안심구역을 말한다 이들 3개 지역에는 어린이와 노인 등 취약계층의 건강을 보호하기    아울러 앞서 미세먼지 집중관리구역 1차로 지정된 금천 영등포 동작구도 올해 사업을 이어간다  또한 오는   
 마부작침    노인 보호 못 하는 노인보호구역,통해 노인보호구역의 실태와 사각지대를 확인했다  2020년 현재 65세 이상 노인의 비율은 16 0   이미 고령    청량리와 경동시장 같은 전통시장이 자리한 동이라 노인 생활인구 비율이 높게 나온 것 같다  금천구   
 17일 낙찰 계약 동향  지방도 532호 단양 각기마을 노인보호구역 개선사업  단양 보발분교 어린이보호구역 정비사업  진북면 부산마을 안길정비공사  낙찰 계약 동향,FINTECHPOST 지방도 532호 단양 각기마을 노인보호구역 개선사업  단양 보발분교 어린이보호구역 정비사업      낙찰업체   주식회사 금천이엔씨  계약금액   19 500 000 원   계약명   교직원공동주택 리모델링 공사    
 6일 조달청 입찰정보 종합  온정면 금천리 405 1 농로 재해복구사업  서산시 스마트도시계획 수립 용역외 나라장터 입찰 공고,FINTECHPOST 온정면 금천리 405 1 농로 재해복구사업  서산시 스마트도시계획 수립 용역외 나라장터 입찰      입찰명    신창면 가덕1리 경로당 외 3개소 노인보호구역 개선공사   계약방법   수의 소액   공고기관   
금천 영등포 동작구  전국 최초 미세먼지 안심 구역된다,서울 금천 영등포 동작구 등 3곳이 전국 최초로 미세먼지 취약계층을 보호하는 구역으로 지정됐다  1일    또 어린이집 유치원  초등학교  노인복지시설  산후조리원  병원 등  미세먼지 취약계층 이용시설 이 최소 10개   
금천 영등포 동작 등 맞춤형 미세먼지 집중관리,com  기사입력 2020 03 12 13 25 44   서울형 미세먼지 집중관리구역 맞춤형 저감사업 현황도  금천구 두산로 및    안심구역은 어린이와 노인 등 미세먼지 취약계층의 고농도 미세먼지 노출을 줄여 건강을 보호하고 지역별   
 5일 조달청 입찰정보 종합  17 00부 노후케이블 교체 및 통신 보강공사  노인보호구역 개선사업외 나라장터 입찰 공고,FINTECHPOST 17 00부 노후케이블 교체 및 통신 보강공사  노인보호구역 개선사업외 나라장터 입찰 공고    공고기관   서울특별시 금천구  입찰마감일시    2019 09 10 10 00   발주처 수요기관    서울특별시 금천구  2019년   
 26일 조달청 입찰정보 종합  경남야생동물센터 고라니장 시설공사  충북대 3종시설물 등 시설안전 보수공사 E구역외 나라장터 입찰 공고,  입찰명    2020년 노인보호구역 개선사업   계약방법   수의 소액   공고기관   대전광역시 유성구      입찰명    금천소방서 건립 정보통신공사   계약방법   일반경쟁  공고기관   서울특별시  입찰마감일시   
 12일 조달청 입찰정보 종합  2020학년도 세천초등학교 통학버스 임차 용역 견적 제출 공고  2020학년도 금천초등학교 통학버스 임차용역 소액수의 견적제출 안내 공고외 나라장터 입찰 공고,FINTECHPOST 2020학년도 세천초등학교 통학버스 임차 용역 견적 제출 공고  2020학년도 금천초등학교      입찰명     한국형 중요생물다양성 보호구역 KBAs  기준마련 연구   계약방법   제한 총액 협상에의한계약    
 7일 낙찰 계약 동향  시청사 산책로 조성공사  어린이보호구역 교통노면표시 정비공사  장천면 하장2길 95 65 앞외7개소 하수도 긴급복구 공사  낙찰 계약 동향,계약기관   서울특별시 금천구  계약일자   2019 12 05  계약방법   수의계약  발주처 수요기관    서울특별시      낙찰업체   이도토건주식회사  계약금액   31 297 990 원   계약명   정향효마을 외 1개소 노인보호구역   
 9일 낙찰 계약 동향  미리벌초등학교 외 8개소 어린이보호구역 유지관리공사  결전아파트 상수도 인입 전기공사  송림4구역 지장물 철거공사  낙찰 계약 동향,서울특별시 금천구  교통사고다발 어린이보호구역 교통안전표지판 정비공사  교통사고다발      낙찰업체   주식회사 성도전기  계약금액   4 790 000 원   계약명   청학노인문화센터 태양열 급탕설비 철거 공사    
