채널명,내용
제네시스 전기차 시동 꺼짐  나만 그런 게 아니었네 ,현대차에서 제작 판매한 제네시스 G80 일렉트리파이드 177대는 구동 모터에 전기를 공급하는 인버터 내부 부품이 불에 타 훼손됐다  이 때문에 주행 중 시동이 꺼지고 이후 다시 시동이 걸리지 않을 가능성이 있다    
제네시스 전기차 G80 캐딜락 CT5 등 509대 제작결함 리콜,현대자동차가 제작 판매한 제네시스 전기차 G80 일렉트리파이드 177대는 구동 모터에 전기를 공급하는    제네시스 G80 일렉트리파이드와 제작결함 부위 재규어랜드로버코리아가 수입 판매한 F TYPE P300 컨버터블 등 2개   
캐딜락 제네시스 재규어 등 3개사 5개 차종 509대 리콜,현대차에서 제작 판매한 제네시스 G80 일렉트리파이드 177대는 구동 모터에 전기를 공급하는 인버터 내부 부품이 소손     불에 타 훼손 돼 주행 중 시동이 꺼지고  이후 다시 시동이 걸리지 않을 수 있어 리콜이   
제네시스 애용하는 재계 총수들  신동빈 김동관은 마이바흐 포르셰,정 회장과 달리 다른 재계 총수들은 모두 내연 기관 차량을 타고 왔는데  제네시스 G90이 가장 많았다  소위  오너의 차 라고 불리는 G90은 현대차의 프리미엄 브랜드 제네시스의 플래그십 최고급형  모델로 국내   
 어느덧 GV60까지  1년에 1대꼴 제네시스가 달려온 6년,제네시스는 현대차의 고급 브랜드다  2015년 EQ900을 시작으로 매년 1대꼴로 신차를 출시하며 프리미엄 자동차 브랜드로 자리 잡았다  제네시스의 시작은 정의선 현대차그룹 회장으로부터 비롯된다  그는 기획부터   
제네시스 G80 전동화 모델  시동꺼짐 우려 리콜,국토교통부가 지난 7월 출시된 현대차 제네시스  G80 전동화 모델 에서 주행 중 시동꺼짐 가능성이 확인돼 리콜 조치를 결정했습니다  제네시스 브랜드의 첫 전기차인  G80 전동화 모델  177대는 구동모터에 전기를   
제네시스 첫 수소차 언제쯤 나올까  과연 정의선 현대차그룹 회장의 의중은 ,현대차그룹이 제네시스 수소전기차 출시 계획에 대해 말을 아꼈다  공영운 현대자동차 전략기획 담당 사장은 8일 경기도 일산 킨텍스에서 개막한 2021 수소모빌리티 쇼 행사장에서  제네시스 수소전기차는 앞으로   
캐딜락 제네시스 재규어랜드로버 3개사 5개 차종 509대 리콜,현대차에서 제작 판매한 제네시스 G80 일렉트리파이드 177대는 구동 모터에 전기를 공급하는 인버터 내부 부품이 소손     불에 타 훼손 돼 주행 중 시동이 꺼지고  이후 다시 시동이 걸리지 않을 수 있어 리콜된다    
 제네시스 2025년부터 신차는 모두 전기차로 ,현대자동차의 고급 브랜드 제네시스가 4년 뒤인 2025년부터 새 자동차 모델을 모두 전기차로 선보이기로    2일 현대차그룹은 이 같은 내용을 담은 친환경 전략  퓨처링 제네시스 를 영상을 통해 공개했다    
 제네시스X 디자인 놀라워 꼭 시승해볼 것  쏟아진 감탄사,현대자동차의 고급 브랜드 제네시스가 유럽 시장 공략을 위해 이달 공식 오픈한  제네시스 스튜디오 뮌헨  사진 이 자리잡은 곳이다  제네시스는  IAA 모빌리티 2021  개최에 맞춰 이곳에 전기차 콘셉트카   
