채널명,내용
 사진 데이식스 영케이  비 오는날 커피 한잔의 여유 ,7일 서울 목동 SBS에서 SBS 파워FM  최화정의 파워타임  라디오 방송이 진행됐다  데이식스 영케이가 출근하고 있다  2021 09 07
 모닝커피 가 독 되는 사람들,아침 잠을 깨기 위한  루틴 으로 모닝 커피를 즐기는 경우가 많다  하지만 모닝 커피가 건강에 독이 되는 사람들이 있다  만성두통이나 위식도역류질환 위궤양이 있는 사람들이다  커피는 일종의 진통제 역할을 하는데   
 프랜차이즈 단신 이디야커피   착즙주스  신제품 출시  , 이디야커피는 착즙주스 신제품을 출시한다  지난해 7월 선보인 착즙주스에 이어  감귤 한라봉 주스 와  청포도 케일 주스 를 새로 선보인다  이디야커피의 착즙주스는 첨가물을 넣지 않고 과일과 채소를 100  착즙해   
셀렉토커피  선착순 반값 창업 지원 프로모션 전개,사진제공 셀렉토커피 프랜차이즈 커피전문점  셀렉토커피 가  반값 창업 지원 프로모션 을 진행 중이라고 7일 밝혔다  이번 프로모션은 창업을 고려하고 있지만  막대한 비용에 부담을 느꼈을 예비 창업자를 위해   
빵 아저씨  브래드 피트  커피머신 모델 눈길,커피를 즐기는 완벽한 순간을 제공하기 위해 이번 캠페인을 기획했다  이번 캠페인에는 배우 브래드 피트가 글로벌 광고모델로 참여  캠페인 광고의 주인공으로 등장한다  아침에 평소 즐겨 마시는 신선한 커피   
용인 커피품은곰 카페  추석맞이 장애인센터 과일후원,커피품은곰 대표 김성훈 은 7일 소담장애인자립생활센터에 방문해 추석맞이 과일후원을 진행했다  이날    취지로 커피품은곰 카페 수익의 일부로 마련되었다  카페 프랜차이즈 복성컴퍼니 및 커피품은곰 김성훈 대표는   
 커피나무 멸종 막아라  팔 걷은 SPC,커피가 사라질 위기에 처했습니다  기후 변화가 계속되면  모닝커피 를 마시지 못하게 될 수도 있다는 경고가 나오고 있습니다  대표적 커피나무인 아라비카를 포함한 커피나무 품종의 60 가 멸종 위기종으로   
 강릉  커피축제 타지자체 차별화 정책 도입 필요 ,강릉커피축제의 지속적 성장과 글로벌화를 위해 차별화된 정책 도입이 시급하다는 의견이 제시됐다  강릉시의회 조대영 사진  의원은 6일 열린 제294회 임시회에서  커피산업과 연계한 강릉커피축제를 지난 2009년부터   
이세희 커피차 선물 감격  신사와 아가씨 팀 환호,배우 이세희가 커피차 선물에 대해 해맑은 미소로 화답했다  이세희는 3일 자신의 인스타그램에 KBS2 새 주말    사진 속에는 이세희와  신사와 아가씨  배우 및 스태프들을 응원하기 위한 커피차의 모습이 담겼다  특히   
오피스 커피구독 서비스  원두데일리   스페셜티 전문 브랜드와 파트너십 체결, 블루리본 서베이 에 선정된 커피리브레  테일러커피와 파트너십 체결 최근 커피 구독경제 서비스  원두데일리 가 스페셜티 제품군을 강화한다  원두데일리를 운영중인 오피스 전문 원두구독 및 커피머신 렌탈 스타트업   
채널명,내용
이디야커피  지난 겨울 인기 호떡 2종 재출시,이디야커피는 지난해 겨울 인기를 끌었던 시즌 메뉴 호떡 2종을 재출시한다고 9일 밝혔다  지난해 출시된 호떡 2종은 출시 한 달 만에 15만개 이상 판매됐다  품절 대란을 일으킬 정도의 뜨거운 인기에 힘입어 이디야커피의   
이희준  이승기의 커피차 선물에 힘 불끈  고마워   스타IN  ,선물한 커피차를 인증했다  이희준은 9일 자신의 인스타그램에   보고타  이승기 승기야 고마워 마지막 촬영 힘이난다   라는 글과 함께 한 장의 사진을 게재했다  공개된 사진 속 이희준은 이승기가 보낸 커피차 앞에서   
이디야커피  겨울 시즌 메뉴 호떡 2종 재출시, 메디컬투데이 김준수 기자  이디야커피는 지난해 겨울 인기를 끌었던 시즌 메뉴 호떡 2종을 오는 10일    이디야커피 마케팅본부 김주예 본부장은  지난 시즌 보내주신 뜨거운 성원에 보답하고자 남녀노소 간편하게   
