채널명,내용
식약처   먹는 코로나19 치료제  진원생명과학 임상2상 승인,9일 식품의약품안전처는 진원생명과학 이 신청한 국내 개발 코로나19 치료제  GLS 1027 의 안전성과 유효성을 평가하기 위한 2상 임상시험계획을 8일 승인했다고 밝혔다  이번 승인으로 현재 국내에서 코로나19   
한경연    경제성장률 3 9   코로나 불안 리스크 ,다만 하반기 코로나19 확산세 안정화와 백신 보급을 통한 집단면역 형성 여부에 따라 경제성장률은 3    4 의 역성장을 기록했던 수출은 주요국 정부의 대규모 경기부양책에 따른 수요확대의 영향으로 교역량이 코로나   
코로나19 신규확진 2049명 이틀 연속 2000명대,국내 신종 코로나바이러스 감염증 코로나19  신규 확진자 수가 2049명을 기록했다  전날 8일  2050명에 이어 이틀째 2000명대를 기록하며 확산세가 이어졌다  지난 3일부터 이날까지 일주일간 신규 확진자   
문체부  45억 투입해  코로나19  예술로 기록 ,문화체육관광부는 한국문화예술위원회와 함께  코로나19  예술로 기록  사업을 45억 원 규모로 새롭게 추진한다고 오늘 9일  밝혔다   코로나19  예술로 기록 은 코로나19로 변화된 일상의 아픔과 희망을 예술가들의   
한은   코로나 피해  소상공인에 3조 더 푼다,한국은행이 코로나19재확산으로 어려움을 겪고 있는 소상공인을 지원하기 위해 3조원의 자금을 추가    지원대상은 코로나19의 영향으로 피해를 입은 서비스업 소상공인의 만기 1년 이내 운전자금 대출이다  종전에는   
질병청  먹는 코로나19 치료제  선구매 협의 중 ,국내외 제약사가 먹는 형태의 코로나19 치료제를 개발 중인 데 대해 정부가 개발 상황을 보면서 구매 계약을 진행하겠다고 9일 밝혔다  질병관리청은 참고 자료를 내고 경구용 치료제 계약과 관련해  정부는 국내외   
고승범  코로나 대출 만기연장  빠른 시일 내 결정 ,고 위원장은 9일 서울 여의도 중소기업중앙회에서 열린  중소기업 소상공인 업계 간담회 에서  지난 7월 이후 신종 코로나바이러스 감염증 코로나19  확산세가 심각해짐에 따라 추가 연장을 희망하는 중소기업과   
 코로나블루 여파   충북 학교 폭력 늘었다,신종 코로나바이러스 감염증 코로나19  여파에 따른 비대면 수업 등으로 교우 관계 형성이 원만하지 못했던 것도 일부 작용한 것으로 보인다  초등학생은 학교폭력에 대한 이해를 돕기 위해  초등용 응답지 에   
 도 결국  위드 코로나 ,일본 정부가 9일 오후 열리는 코로나19 대책본부 회의에서  위드 코로나  방안을 결정할 방침이라고 9일 아사히 신문이 보도했다  보도에 따르면 일본 정부는 오는 11월께부터 코로나19 긴급사태 등이 발령된 지역의 감염   
 단독  광고비 로열티 내라  가맹본부  갑질   코로나에도 더 늘었다,코로나19 사태에도 가맹본부가 일선 가맹점을 운영하는 소상공인에게 광고비를 떠넘기거나 로열티를 받는    이처럼 코로나19 사태로 경영 여건이 갈수록 악화하는 상황에서 가맹본부의  갑질 을 막을 실효적인   
