채널명,내용
이디야커피  지난 겨울 인기 호떡 2종 재출시,이디야커피는 지난해 겨울 인기를 끌었던 시즌 메뉴 호떡 2종을 재출시한다고 9일 밝혔다  지난해 출시된 호떡 2종은 출시 한 달 만에 15만개 이상 판매됐다  품절 대란을 일으킬 정도의 뜨거운 인기에 힘입어 이디야커피의   
커피머신 살펴보는 관람객들,9일 오후 서울 강남구 세텍에서 열린  2021 서울카페 베이커리페어 을 찾은 관람객들이 커피머신을 살펴보고 있다  2021 09 09  kch0523 newsis com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다  뉴스   
이희준  이승기의 커피차 선물에 힘 불끈  고마워   스타IN  ,선물한 커피차를 인증했다  이희준은 9일 자신의 인스타그램에   보고타  이승기 승기야 고마워 마지막 촬영 힘이난다   라는 글과 함께 한 장의 사진을 게재했다  공개된 사진 속 이희준은 이승기가 보낸 커피차 앞에서   
한국재능기부협회  한국커피바리스타협회 닥터클린과 업무협약,상생과 협업으로 기부문화 정착 앞장  한국재능기부협회는 재능기부 발전과 올바른 커피문화 정착을 위해  한국커피바리스타협회  닥터클린과 업무협약을 체결했다고 9일 밝혔다  이번 협약식에 따라 바리스타협회와   
 자연 속 커피 여유  엔제리너스  롯데아울렛 타임빌라스 입점,롯데GRS 커피 프랜차이즈 엔제리너스가 롯데프리미엄아울렛 타임빌라스점에 자연친화 콘셉트 매장을 오는 10일 개장한다고 9일 밝혔다   타임빌라스 는 시간 Time 과 빌라스 Vilas 의 합성어로  시간도 쉬어가는 공간   
커피계의 에르메스   스페셜티 커피 맛보셨나요  ,예루살렘에는  진흙커피 가 있다  주전자에 원두를 직접 넣고 끓이는 식으로 일반적으로 생각하는 블랙커피보다 더 진하고 묵직한 맛과 향을 낸다  본 기자가 2년 전에 갔던 예루살렘은 메마른 도시면서 뿌리 깊은   
이혜성  셔츠 입으니 달라보여  커피 프린스 변신  우동클 , 우리동네클라쓰 가 커피 프린스로 변신한다  10일 방송되는 신개념 동네 메이크오버 버라이어티쇼 LG 헬로비전  커넥티비티  우리동네 클라쓰 이하 우동클  에서는 멤버들이 작업복을 벗고  커피 프린스 로   
 드립커피 한 잔 ,9일 오후 서울 강남구 세텍에서 열린  2021 서울카페 베이커리페어 에서 드립커피가 제조되고 있다  2021 09 09  kch0523 newsis com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다  뉴스 가치나 화제성이   
 맛있게 볶아지는 커피 ,9일 오후 서울 강남구 세텍에서 열린  2021 서울카페 베이커리페어 을 찾은 관람객들이 커피로스팅기를 살펴보고 있다  2021 09 09  kch0523 newsis com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다    
 커피콩 보세요 ,  9일 오후 서울 강남구 세텍에서 열린  2021 서울카페 베이커리페어 에서 한 관계자가 커피콩을 들어보이고 있다  2021 9 9 뉴스1
