"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","X좌표","Y좌표","작업일자"
"ARI00001","서대문구","상수도사업본부","서대문구 서소문로 51","본관 1F","1","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00002","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00003","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00004","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00005","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00006","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00007","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00008","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00009","서대문구","상수도사업본부","서대문구 서소문로 51","본관 2F","2","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00010","서대문구","상수도사업본부","서대문구 서소문로 51","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00011","서대문구","상수도사업본부","서대문구 서소문로 51","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00012","서대문구","상수도사업본부","서대문구 서소문로 51","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00013","서대문구","상수도사업본부","서대문구 서소문로 51","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00014","서대문구","상수도사업본부","서대문구 서소문로 51","본관 3F","3","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00015","서대문구","상수도사업본부","서대문구 서소문로 51","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00016","서대문구","상수도사업본부","서대문구 서소문로 51","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00017","서대문구","상수도사업본부","서대문구 서소문로 51","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00018","서대문구","상수도사업본부","서대문구 서소문로 51","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
"ARI00019","서대문구","상수도사업본부","서대문구 서소문로 51","본관 4F","4","7-1. 커뮤니티 - 행정","서울시(AP)","공공WiFi","수도사업소자가망","2014","실내","","126.96675","37.561924","2021-09-06 10:57:42.0"
