,지정일,합계,종로구,중구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,양천구,중랑구,노원구,광진구,강북구,금천구
0,2007,2642,108,82,88,76,150,116,74,106,93,91,119,92,141,76,118,112,110,167,98,78,173,118,102,105,49
1,2008,3100,101,95,84,89,164,186,104,164,106,125,130,118,164,69,143,126,110,189,122,109,152,139,112,120,79
2,2009,3609,122,140,115,102,205,177,117,197,138,132,155,144,182,125,152,165,140,181,121,125,161,159,117,136,101
3,2010,3528,139,124,114,98,211,175,119,166,121,138,173,127,179,99,158,157,118,172,148,112,193,155,117,128,87
4,2011,3733,148,134,87,112,204,184,111,194,136,141,172,147,210,114,169,192,152,188,165,124,163,158,109,121,98
5,2012,4197,144,143,119,106,248,182,122,221,131,147,184,168,224,129,181,239,167,268,163,136,217,181,140,137,100
6,2013,4492,143,145,137,128,271,203,135,177,179,191,212,145,269,156,203,251,168,241,190,144,230,179,130,174,91
7,2014,5009,140,162,158,153,287,235,171,195,156,181,240,213,266,148,231,283,202,292,200,171,204,212,166,198,145
8,2015,5388,168,165,169,177,361,275,170,208,180,203,234,220,315,175,218,260,206,299,202,227,240,206,167,224,119
9,2016,5219,173,139,167,139,357,248,171,217,173,198,240,207,312,196,171,303,217,274,248,191,213,228,113,216,108
10,2017,5357,192,156,163,161,313,285,170,195,166,208,231,203,328,200,184,324,221,321,237,177,250,212,146,200,114
11,2018,5761,191,164,170,158,327,228,190,244,203,191,210,242,350,225,182,351,242,373,290,209,254,245,133,246,143
12,2019,5912,184,151,144,162,315,262,189,246,211,192,276,230,341,203,194,352,286,395,284,237,276,297,128,217,140
13,2020,5056,147,161,95,158,289,214,160,195,137,148,232,201,296,199,209,359,196,336,247,198,242,244,102,161,130
