,이름,주소,x,y
0,장안현대홈타운아파트경로당,동대문구 장안동 336번지 ,206521.4053,451940.1191
1,삼성쉐르빌경로당,동대문구 장안동 371-1번지 ,206101.9138,452155.6911
2,삼성쉐르빌경로당,동대문구 장안동 371-1번지 ,206101.9138,452155.6911
3,한화아파트경로당,동대문구 답십리동 994번지 ,204698.8312,451628.9408
4,삼익아파트경로당,동대문구 이문동 73번지 ,205896.6407,454847.0874
5,이문경로당,동대문구 이문동 284-7번지 ,205073.4413,454834.526
6,삼성아파트경로당,동대문구 전농동 155번지 ,204840.9784,453293.409
7,이수아파트경로당,동대문구 제기동 55-10번지 ,,
8,용일경로당,동대문구 용두동 787번지 16091621호,203258.3772,452834.0641
9,휘경동일하이빌아파트경로당,동대문구 휘경동 365번지 102 102동 1102호,206404.9126,453340.5982
10,삼성쉐르빌아파트경로당,동대문구 장안동 371-1번지 ,206101.9138,452155.6911
11,삼성쉐르빌아파트경로당,동대문구 장안동 371-1번지 ,206101.9138,452155.6911
12,청솔2차우성아파트경로당,동대문구 답십리동 80-2번지 ,205408.407,452586.5902
13,청량리 한신아파트제2경로당,동대문구 청량리동 60번지 ,204276.0182,453966.8557
14,배봉경로당,동대문구 전농동 산 32-5번지 ,,
15,동일스위트리버경로당,동대문구 휘경동 366번지 ,205997.6045,453902.5317
16,동일스위트리버경로당,동대문구 휘경동 366번지 ,205997.6045,453902.5317
17,홍릉동부아파트경로당,동대문구 청량리동 212번지 ,203995.3914,453762.2528
18,SK아파트제2경로당,동대문구 전농동 10-1번지 ,205478.114,452788.1283
19,SK아파트제2경로당,동대문구 전농동 10-1번지 ,205478.114,452788.1283
20,장평경로당,동대문구 장안동 138-11번지 ,,
21,SK아파트경로당,동대문구 전농동 10번지 ,205271.7049,452706.8979
22,용두두산위브아파트경로당,동대문구 용두동 797번지 ,,
23,신이문금호어울림아파트경로당,동대문구 이문동 428번지 101 101동 1103호,205494.3546,455710.6888
24,현대홈타운경로당,동대문구 장안동 ,,
25,롯데캐슬피렌체아파트경로당,동대문구 용두동 790번지 ,203085.8668,452766.0142
26,래미안아파트경로당,동대문구 답십리동 1000번지 104 104동 1301호,205699.0154,452622.5885
27,청량리미주아파트경로당,동대문구 청량리동 235-1번지 ,204064.7782,453515.1972
28,롯데1차아파트경로당,동대문구 휘경동 78번지 ,205528.4654,454301.4424
29,이문3동경로당,동대문구 이문동 256-137번지 ,205527.3377,455467.1121
30,장안3동경로당,동대문구 장안동 449번지 ,205945.7159,451271.126
31,장안3동경로당,동대문구 장안동 449번지 ,205945.7159,451271.126
32,답십리세양청마루아파트경로당,동대문구 답십리동 997번지 ,205720.9683,452378.7499
33,근린경로당,동대문구 장안동 300번지 ,206238.4361,452791.1945
34,제기1동분회경로당,동대문구 제기동 681-2번지 ,203413.6416,453716.6946
35,명성경로당,동대문구 용두동 118-57번지 ,202752.3472,452456.4006
36,휘경롯데낙천대아파트경로당,동대문구 휘경동 109번지 ,205616.3355,454408.7474
37,우성아파트경로당,동대문구 전농동 6번지 ,205668.4751,452777.0566
38,장안현대홈타운아파트제2경로당,동대문구 장안동 354-1번지 ,206356.723,451679.5694
39,휘경베스트빌현대아파트경로당,동대문구 휘경동 52번지 ,206483.5555,453265.197
40,휘경현대아파트경로당,동대문구 휘경동 363번지 ,204836.5965,453780.9362
41,휘경1동분회경로당,동대문구 휘경동 179-9번지 ,205351.6235,454458.4888
42,현대아파트경로당,동대문구 제기동 892-66번지 ,203088.5938,453099.4199
43,장안3차현대홈타운경로당,동대문구 장안동 571번지 ,206385.6705,452491.8173
44,청계벽산아파트경로당,동대문구 답십리동 999번지 ,204320.9026,451953.6466
45,답십리두산위브아파트경로당,동대문구 답십리동 998번지 ,205027.5443,451546.213
46,답사경로당,동대문구 답십리동 903번지 ,205589.4351,451959.5215
47,신성아파트경로당,동대문구 전농동 687번지 103 103동 1302호,204216.9877,452891.6142
48,동부경로당,동대문구 용두동 39-454번지 ,203787.8765,452558.8539
49,래미안장안2차아파트경로당,동대문구 장안동 329-3번지 ,206590.0462,452410.6195
50,한신아파트경로당,동대문구 답십리동 42번지 ,205458.8057,452059.7471
51,장안힐스테이트경로당,동대문구 장안동 329-2번지 ,206586.5724,452632.6289
52,장수경로당,동대문구 장안동 563번지 ,206111.5581,451472.7068
53,신답경남아파트경로당,동대문구 답십리동 645-8번지 ,203875.284,452496.8835
54,현대아파트경로당,동대문구 청량리동 234-2번지 ,204024.365,453631.2472
55,홍릉경로당,동대문구 청량리동 203-286번지 ,203709.917,453874.361
56,신성(아)경로당,동대문구 휘경동 106번지 ,205656.734,454366.3016
57,휘경2동 분회경로당,동대문구 휘경동 312-22번지 ,204839.8584,453820.3964
