번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),인허가번호,상세영업상태명
3745,정릉꿈에그린(아)경로당,서울특별시 성북구 정릉동 정릉꿈에그린 ,,20170808,운영중,,,,,,,,,,,,3.07E+15,운영
3744,구파발10단 제3경로당,서울특별시 은평구 진관동 은평뉴타운구파발 ,,20121212,운영중,,,,,,,22,,,,,3.11E+15,운영
3743,아현 아이파크 경로당,서울특별시 마포구 아현동 104동 ,,20180406,운영중,,,,,,,23,,,,,3.13E+15,운영
3742,상암월드컵파크12단지(아)경로당,서울특별시 마포구 상암동 상암월드컵파크12단지 ,,20110414,운영중,,,,,,,,,,,,3.13E+15,운영
3741,상암월드컵파크11단지 경로당,서울특별시 마포구 상암동 상암월드컵파크11단지 ,,20121024,운영중,,,,,,,36,,,,,3.13E+15,운영
3740,월드컵아이파크106동 경로당,서울특별시 마포구 성산동 월드컵아이파크 ,,20121126,운영중,,,,,,,30,,,,,3.13E+15,운영
3739,공덕5차래미안아파트A 경로당,서울특별시 마포구 공덕동 래미안 공덕5차 ,,20120118,운영중,,,,,,,28,,,,,3.13E+15,운영
3738,한강밤섬자이아파트 경로당,서울특별시 마포구 하중동 한강밤섬자이 ,,20120709,운영중,,,,,,,29,,,,,3.13E+15,운영
3737,창전삼성(아)경로당,서울특별시 마포구 창전동 창전동삼성아파트 ,,20060117,운영중,,,,,,,22,,,,,3.13E+15,운영
3736,SH공사공덕2차삼성아파트 경로당,서울특별시 마포구 공덕동 ,,20150203,운영중,,,,,,,36,,,,,3.13E+15,운영
3735,마포래미안푸르지오아파트4단지경로당,서울특별시 마포구 아현동 마포래미안푸르지오 ,,20151001,운영중,,,,,,,45,,,,,3.13E+15,운영
3734,마포래미안푸르지오아파트2단지경로당,서울특별시 마포구 아현동 마포래미안푸르지오 ,,20151001,운영중,,,,,,,51,,,,,3.13E+15,운영
