제목,링크,내용
강진군, <b>어린이보호구역</b> 휴일 점멸 시범 운영,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000789853,강진중앙초등학교 앞 어린이보호구역 전남 강진군이 일부터 강진군 대구면 대구초등학교 앞 어린이 보호구역 신호등을 휴일에는 점멸 운영한다고 밝혔다 지난 월 정부의 안전속도  시책 추진으로 대구초등학교 
[부산소식]대선주조 조우현 ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 등,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010726248,대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 일 동참했다 어린이 교통안전 릴레이 챌린지 캠페인은 지난해 월 행정안전부에서 
대선주조 조우현 대표, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005609666,대선주조는 일 대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 동참했다고 밝혔다 어린이 교통안전 릴레이 챌린지 캠페인은 지난해 월 
대선주조 조우현 대표 <b>어린이</b> 교통안전 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004646409,대선주조 조우현 대표가 운전자의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
대선주조 조우현 대표 '<b>어린이</b> 교통안전 챌린지' 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003554212,대선주조 조우현 대표가 어린이 보호구역 교통사고 예방을 위해 나섰다 대선주조는 일 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 동참했다고 밝혔다 
조우현 대선주조 대표, ‘<b>어린이</b> 교통안전 챌린지’ 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001471368,조우현 대선주조 대표가 어린이 보호구역 내 교통사고 예방 캠페인에 힘을 보탰다 대선주조는 일 조 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
대선주조 조우현 대표, <b>어린이 보호구역</b> 교통안전 문화 조성 캠페인 참여,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001120099,어린이 교통 안전 릴레이 챌린지 캠페인은 지난해 월 행정안전부에서 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 
강진군, <b>어린이보호구역</b> 휴일 점멸 시범 운영,https://www.wikitree.co.kr/articles/689863,군은 현재 관내 학교 앞 어린이보호구역의 신호등을 야간에는 부분 점멸해 운영하고 있다 박정식 안전재난교통과장은 군민과 강진을 찾는 관광객에게 쾌적하고 편리한 교통생활을 제공하기 위해 개선이 
장수경찰서, <b>어린이</b> 등굣길 교통안전 활동,http://sjbnews.com/news/news.php?number=723811,이날 활동은 교통안전 어린이 홍보용품 배부와 함께 교통지도 활동을 전개하고 어린이보호구역 내 불법 주정차 근절을 위한 단속 활동도 병행했다 경찰서는 앞으로도 초등학교 통학로 주변을 중심으로 어린이 안전을 
조우현 대선주조 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003963538,조우현 대선주조 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 조 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
교통사고 다발 <b>어린이보호구역</b> 집중 점검,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004707348,행정안전부가 교통사고가 잦은 어린이보호구역에 대해 관계기관 합동 현장점검을 실시한다 사고원인 분석 및 교통안전시설 개선을 위해서다 일 행안부는 교통사고가 건 이상 발생했거나 사망사고가 발생한 
'10초만에 65만원 벌금'… <b>어린이보호구역</b>서 차량 5대 무더기 신호위반,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=417&aid=0000736111,그는 무언가에 홀린 것처럼 대 모두 어린이보호구역에서 신호를 무시했다며 전국 각지에서 국고를 채워주러 모였다고 비꼬았다 이어 이로써 도로가 더욱 안전해지겠다고 썼다 이에 누리꾼은 해당 
대선주조 조우현 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004605794,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 대선주조 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003216706,어린이 교통안전 릴레이 챌린지 캠페인은 지난해 월 행정안전부에서 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 
인천시, <b>어린이보호구역</b> 내 교차로 모두 노란신호등으로,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010716385,또 민식이법과 관련해 어린이보호구역 교통안전시설 확충을 위해 년 억원 년 억원 등 국비를 지원 받았다 또 지난해 억원 교차로 개소 올해에는 총사업비 억 중 억원을 집행해 무신호 횡단보도 
강진군, <b>어린이보호구역</b> 휴일 점멸 시범 운영,http://www.sisamagazine.co.kr/news/articleView.html?idxno=402129,군은 현재 관내 학교 앞 어린이보호구역의 신호등을 야간에는 부분 점멸해 운영하고 있다 박정식 안전재난교통과장은 군민과 강진을 찾는 관광객에게 쾌적하고 편리한 교통생활을 제공하기 위해 개선이 
데스크단신]<b>어린이보호구역</b> 휴일 점멸 운영,https://mpmbc.co.kr/article/L6vvne7ik1viyPA,강진군은 대구면 대구초등학교 앞 어린이보호구역 신호등을 휴일에는 점멸 운영합니다  사단법인 장보고글로벌재단과 완도군은 제회 장보고한상 어워드 대상 수상자로 정영수 그룹 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001888938,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
강진군, <b>어린이보호구역</b> 신호등... 휴일 '점멸 시범 운영',http://www.newsworker.co.kr/news/articleView.html?idxno=129871,강진중앙초등학교 앞 어린이보호구역 지난 월 정부의 안전속도  시책 추진으로 대구초등학교 앞 신호 대기와  서행운전을 실시했으나 휴일 동안 대구면 마량면을 찾는 관광객 증가로 교통체증이 빈번하게 
인천 <b>어린이보호구역</b> 교통신호 노란신호등으로 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001470434,인천시가 어린이들의 안전한 보행환경 조성을 위해 어린이보호구역을 쉽게 알아볼 수 있도록 추진한다 인천시는 인천경찰청과 협업해 관내 초등학교 등 개교 교차로 곳에 교통신호등을 노란신호등으로 교체해 
구로구 '스마트 횡단보도' 확충…<b>어린이</b> 교통 안전 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005606085,구로구 관계자는 관내 어린이보호구역 내 보행자 수와 교통 상황을 고려해 교통안전시설을 확대 설치하고 있다며 어린이 교통사고 예방을 위해 어린이 보호구역 내에서는 안전운전 해달라고 당부했다
[영상]10초 만에 5대나? <b>어린이보호구역</b> '단체 신호위반'[이슈시개],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003554075,핵심요약어린이 보호구역서 차량 대 좌회전 신호 무시하고 직진 교통법규 위반으로 신고전국 각지에서 온 차 교통약자 보호구역 법규 위반시 과태료범칙금벌점 배 부과 어린이 보호구역에서 신호 위반하는 
교통사고 잦은 <b>어린이보호구역</b> 36곳 손본다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010715499,기사내용 요약작년 건 사고로 명 사상 보행중 사고 당해 교통사고가 잦은 어린이보호구역스쿨존 곳이 일제 정비된다 행정안전부는 오는 일 나흘간 전국 개 시도 어린이보호구역 곳에 대한 
구로구, <b>어린이보호구역</b> 3곳에 스마트 횡단보도 추가 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001887884,서울 구로구구청장 이성는 교통사고 없는 안전한 통학로 조성을 위해 고산초 오정초 항동초 등 어린이보호구역 곳에 스마트 횡단보도를 추가 설치했다고 일 밝혔다 스마트 횡단보도는 첨단기술을 활용해 
'<b>어린이보호구역</b> 모녀 치어 엄마 사망' 운전자 징역 4년 6개월,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001147258,살 딸과 함께 어린이보호구역을 지나가던 어머니를 치어 숨지게 한 혐의로 기소된 대 운전자에게 징역형이 선고됐습니다 인천지법 형사부는 어린이보호구역을 지나던 모녀를 차로 치어 어머니를 숨지게 하고 딸을 
강진군, <b>어린이보호구역</b> 신호등 휴일 점멸 시범 운영,http://www.nspna.com/news/?mode=view&newsid=527340,군은 현재 관내 학교 앞 어린이보호구역의 신호등을 야간에는 부분 점멸해 운영하고 있다 박정식 안전재난교통 과장은 군민과 강진을 찾는 관광객에게 쾌적하고 편리한 교통생활을 제공하기 위해 개선이 
전남 <b>어린이보호구역</b>, 단속 카메라 설치율 73%↑,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010715440,기사내용 요약내년이면  설치 전망 전남경찰청은 지역 어린이보호구역 내 무인 단속 장비 설치율이 를 넘어섰다고 일 밝혔다 전남 지역 내 어린이보호구역은 지난달 말 기준 곳으로 이 중 곳에 무인 
대선주조 조우현 대표, '<b>어린이</b> 교통안전 릴레이 챌린지',http://www.gnnews.co.kr/news/articleView.html?idxno=483148,어린이 교통안전 릴레이 챌린지는 행정안전부가 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 추진하는 캠페인이다 
인천시, <b>어린이보호구역</b> 내 교차로 노란신호등으로 전면 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004707749,인천시는 어린이들의 안전한 보행환경 조성을 위해 운전자들이 어린이보호구역을 쉽게 알아볼 수 있도록 교통신호등을 노란신호등으로 교체를 추진한다 인천시는 인천경찰청과 협업해 지역 내 초등학교 등 개교 
데스크단신]<b>어린이보호구역</b> 휴일 점멸 운영,https://mpmbc.co.kr/article/UO9BRJPCY6RIV7WL,강진군은 대구면 대구초등학교 앞 어린이보호구역 신호등을 휴일에는 점멸 운영합니다  사단법인 장보고글로벌재단과 완도군은 제회 장보고한상 어워드 대상 수상자로 정영수 그룹 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://ilyo.co.kr/?ac=article_view&entry_id=411985,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 대선주조 조우현 대표가 일 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 
교통사고 잦은 <b>어린이보호구역</b> 분석해 맞춤형 대책 만든다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005598079,행정안전부는 교통사고가 잦은 어린이보호구역의 사고원인 분석과 교통안전시설 개선을 위해 관계기관 합동 현장점검을 실시한다고 일 밝혔다 이번 점검은 교통사고가 건 이상 발생했거나 사망사고가 발생한 
강진군 대구면 <b>어린이보호구역</b> 휴일 점멸 운영,https://mpmbc.co.kr/article/hnynbx2oxu7YHV6kkHH,강진군은 대구면 대구초등학교 앞 어린이보호구역 신호등을 휴일에는 점멸 운영하기로 했습니다 강진군은 휴일동안 대구면과 마량면을 찾는 관광객 증가로 교통체증이 빈번하게 발생함에 따라 오는 일부터 
