제목,링크,내용
'투썸' 제친 2000원짜리 <b>커피</b>…'스타벅스' 맹추격,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004607603,국내 커피 전문점 시장이 요동치고 있다 코로나 상황에서 커피시장 규모가 커지면서 위 자리를 두고 신구 커피 프랜차이즈 업체 간 치열한 각축전이 벌어지고 있다 커피 수입액은 매년 사상 최고 기록을 
이디야<b>커피</b>-다날 업무협약 체결,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010733207,이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약식을 진행했다고 일 밝혔다 김주예왼쪽 이디야커피 마케팅본부장과 박지만 다날 결제사업본부장이 기념촬영을 하고 있다 사진이디야커피 제공 
이디야<b>커피</b>, 페이코인으로 사 마실 수 있다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=009&aid=0004855368,다날과 업무협약 체결페이코인 결제 서비스 도입 이디야커피를 이달 말부터 가상화폐 페이코인으로 살 수 있게 된다 일 이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약을 체결했다고 밝혔다 이번 
이디야<b>커피</b>, 페이코인으로 결제한다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004712763,이디야커피를 페이코인으로 결제할 수 있게 된다 이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약식을 진행했다고 일 밝혔다 이에 따라 이디야커피는 오는 일부터 페이코인 결제 서비스를 도입한다 
&quot;컵으로 즐기자&quot; 이디야<b>커피</b>, 컵<b>커피</b> 누적 300만개 판매,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005616622,이디야커피는 지난 월 출시한 컵커피가 출시 개월여만에 누적 만개 판매됐다고 일 밝혔다 이 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허출원 된 로스팅 기법으로 듀얼 로스팅한 원두 추출액에 
이디야<b>커피</b>, 다날과 업무협약 체결…페이코인 결제 도입,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003383194,이디야커피가 통합결제 비즈니스 전문기업 다날과 업무협약을 맺었다고 일 밝혔다 이날 경기도 성남시 다날 대회의실에서 진행된 업무협약식에는 김주예 이디야커피 마케팅본부 본부장과 박지만 다날 결제사업본부 
이디야<b>커피</b>, 컵<b>커피</b> 출시 후 누적 판매 300만개 돌파,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004972747,이디야커피가 지난 월 출시한 컵커피가 개월여만에 누적 판매 만개를 달성했다고 일 밝혔다 이디야커피가 지난 월 출시한 컵커피는 이디야커피의 자체 로스팅 공장 드림팩토리에서 특허 출원 된 로스팅 
이디야 ‘컵<b>커피</b>’, 출시 세달만에 300만개 판매,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=366&aid=0000762178,이디야커피가 지난 월 출시한 컵커피가 개월여만에 누적 판매 만개를 달성했다고 일 밝혔다 이디야커피는 자사 카페 매장의 인기메뉴에서 착안한 토피넛 시그니처 라떼 돌체 콜드브루 카페라떼 등 
메가<b>커피</b> 1500호점 돌파…5년 8개월만,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005042780,가성비 커피로 인기를 끌고 있는 메가엠지씨커피이하 메가커피가 호점을 돌파했다 지난해 월 호점 돌파 후 년 개월 만의 성과로 가맹사업을 시작한 지는 년 개월 만이다 메가커피 번째 매장 
이디야<b>커피</b>, 컵<b>커피</b> 누적판매 300만개 돌파,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001890362,이디야커피는 지난 월 출시한 컵커피가 개월여만에 누적 판매 만개를 달성했다고 일 밝혔다 이디야 컵커피는 자체 로스팅 공장 드림팩토리에서 특허출원된 로스팅 기법으로 듀얼 로스팅한 원두 추출액에 
이디야<b>커피</b>, 다날과 업무협약 체결,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004607531,이디야커피는 통합결제 비즈니스 전문기업 다날과 업무협약식을 진행했다 이번 협약으로 오는 일부터 모바일 멤버쉽 서비스 이디야멤버스와 이디야커피 매장에서 주문 후 페이코인으로 결제 가능하다 
<b>커피</b>·아이스크림 전문점, 음식물 쓰레기 처리부담 줄어든다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010732858,앞으로 커피나 아이스크림 전문점의 음식물 쓰레기 처리 부담이 크게 줄어들 전망이다 무인 민원 선정된 주요 과제를 보면 우선 커피나 아이스크림 전문점은 음식물류 폐기물 다량배출 사업자에서 제외된다 그간 
