제목,링크,내용
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=421&aid=0005629159,금호타이어가 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, '<b>어린이</b> 교통안전교육' 진행,http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=03&c1=03&c2=03&c3=00&nkey=202109301046191,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004716100,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
CJ대한통운, 군포 30곳에 <b>어린이 보호</b> '노란발자국' 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010740637,대한통운은 굿네이버스와 함께 군포 지역 어린이집초등학교 등 어린이 보호구역 횡단보도 곳에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치 작업은 군포시청 군포경찰서와의 
금호타이어, 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000626474,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://sports.hankooki.com/lpage/economy/202109/sp20210930093453136980.htm?s_ref=nv,금호타이어가 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어 전국 초등생 대상 '<b>어린이</b> 교통안전교육' ,http://www.gjdream.com/news/articleView.html?idxno=610461,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
태백시, <b>어린이 보호구역</b> 노란색 신호등 교체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002212167,또한 년 황지초 어린이보호구역 내 경보등 개 설치한 것을 시작으로 년 노란색 신호등을 상장초등학교 곳 개 중앙초등학교 곳 개를 설치했으며 올해에는 철암초등학교 곳 개를 설치 완료했다 시 
[남해] 창선초교 앞 <b>어린이보호구역</b>에 '노란 발자국' 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002327731, 남해군청 경남 남해 창선초등학교 앞 도로인 어린이보호구역스쿨존에 노란발자국이 설치됐다 남해군자원봉사센터는 창선면지역사회보장협의체 봉사자와 창선초등학교 학생교사와 함께 노란발자국 설치 활동을 
금호타이어, 전국 초등학생 대상 ‘<b>어린이</b> 교통안전교육’ 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=018&aid=0005047969,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.sisaweek.com/news/articleView.html?idxno=147657,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 
CJ대한통운, <b>어린이</b> 등하굣길 ‘노란발자국’ 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004974890,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치 작업은 군포시청 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.autodaily.co.kr/news/articleView.html?idxno=429690,금호타이어에서 제작한 워크북에는 안전한 보행법어린이 보호구역에서 지켜야 할 안전수칙교통안전 표지판바퀴 달린 놀이기구의 안전한 이용법도전안전 골든벨퀴즈내가 만드는 안전한 학교 가는 
<b>어린이 보호구역</b> 네 모녀 사상 화물기사, 2심 감형,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010740386,기사내용 요약징역 년년 개월 합의한 점 등 두루 고려 어린이 보호구역 횡단보도에서 네 모녀를 치어 사상케 한 혐의로 기소된 화물차 기사가 항소심에서 감형받았다 광주고법 제형사부위광하박정훈성충용 
<b>어린이보호구역</b>서 일가족 사상케 한 트럭운전자 항소심서 감형,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003557061,어린이보호구역에서 일가족 명을 들이받아 명을 숨지게 한 혐의로 재판에 넘겨진 대 트럭운전자가 항소심에서 감형받았다 광주고등법원 형사부위광하 박정훈 성충용 고법판사는 일 특정범죄 가중처벌 등에 
광주 남부경찰, <b>어린이 보호구역</b> 불법 주·정차 단속,https://www.jnilbo.com/view/media/view?code=2021093010585539161,광주 남부경찰 교통안전계는 관내 초등학교 앞 불법 주정차 단속을 했다고 일 밝혔다남부경찰은 불법 주정차로 인한 어린이 교통사고 예방을 위해 남구 교통과와 합동으로 단속을 진행했다 이번 단속은 불로초 
CJ대한통운, 군포 <b>어린이 보호구역</b> 횡단보도 30곳에 '노란 발자국' 설치,https://www.etoday.co.kr/news/view/2064881,이투데이김벼리 기자 | 교통사고 예방 도와 대한통운 관계자들이 경기도 군포시 어린이보호구역에 노란발자국을 설치하고 있다 사진제공대한통운 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.newslock.co.kr/news/articleView.html?idxno=46756,금호타이어에서 제작한 워크북에는 안전한 보행법어린이 보호구역에서 지켜야 할 안전수칙교통안전 표지판바퀴 달린 놀이기구의 안전한 이용법도전안전 골든벨퀴즈내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.newspim.com/news/view/20210930000344,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
CJ대한통운, <b>어린이</b> 등하굣길에 '노란발자국' 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002971818,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://www.ngetnews.com/news/articleView.html?idxno=403419,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.taxtimes.co.kr/news/article.html?no=251746,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
CJ대한통운, 군포 <b>어린이 보호구역</b>에 ‘노란발자국’ 부착,http://www.nextdaily.co.kr/news/article.html?id=20210928800020,대한통운은 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치한다고 일 밝혔다 노란 발자국 설치 작업은 군포시청 
CJ대한통운, <b>어린이</b> 등하굣길에 '노란발자국' 부착,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000625982,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치하며 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.lcnews.co.kr/news/articleView.html?idxno=25001,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
여수시, 안전속도 5030 “<b>어린이</b> 안전 우리가 지켜요”,https://www.wikitree.co.kr/articles/692945,여수시시장 권오봉는 지난 일 미평초등학교 일대 어린이 보호구역에서 안전속도  및 속도를 줄이면 어린이가 보입니다를 주제로 교통안전 캠페인을 진행했다고 밝혔다 이날 캠페인에는 녹색어머니회를 
CJ대한통운, 안전한 <b>어린이</b> 등하굣길 위해 팔 걷어,http://www.ajunews.com/view/20210928100118152,이보미 기자  대한통운이 경기도 군포시 어린이보호구역에 노란발자국을 설치하고 있다 사진대한통운 제공  대한통운은 굿네이버스와 함께 경기도 군포 지역 내 어린이집과 초등학교 등 어린이 
