시군구,2012,2013,2014,2015,2016
합계,4197,4492,5009,5388,5219
종로구,144,143,140,168,173
중구,143,145,162,165,139
용산구,119,137,158,169,167
성동구,106,128,153,177,139
동대문구,248,271,287,361,357
성북구,182,203,235,275,248
도봉구,122,135,171,170,171
은평구,221,177,195,208,217
서대문구,131,179,156,180,173
마포구,147,191,181,203,198
강서구,184,212,240,234,240
구로구,168,145,213,220,207
영등포구,224,269,266,315,312
동작구,129,156,148,175,196
관악구,181,203,231,218,171
강남구,239,251,283,260,303
강동구,167,168,202,206,217
송파구,268,241,292,299,274
서초구,163,190,200,202,248
양천구,136,144,171,227,191
중랑구,217,230,204,240,213
노원구,181,179,212,206,228
광진구,140,130,166,167,113
강북구,137,174,198,224,216
금천구,100,91,145,119,108
