,Unnamed: 0,구,지점,발생건수,사상자수,경도,위도
14,14,동대문구,동대문구 답십리동(답십리사거리 부근),4,5,127.057404,37.5718314
15,15,동대문구,동대문구 제기동(식당재료유통할인 부근),4,4,127.0399796,37.5827785
16,16,동대문구,동대문구 회기동(회기역앞_회기로_진출_1 부근),4,5,127.054378,37.58994844
17,17,동대문구,동대문구 신설동(신설동역_난정로_진입_1 부근),4,4,127.0229655,37.57507394
18,18,동대문구,동대문구 제기동(홍파초교후문 부근),4,5,127.0404515,37.58632729
19,19,동대문구,동대문구 휘경동(위생병원앞 부근),4,5,127.0623521,37.59017101
20,20,동대문구,동대문구 용두동(용두 치안센터 부근),6,6,127.0337267,37.57808582
21,21,동대문구,동대문구 청량리동(청량리역_일반국도6호선_진입_1 부근),16,16,127.0441026,37.57989479
149,149,동대문구,동대문구 용두동(성바오로병원앞 부근),13,13,127.0424324,37.57921299
150,150,동대문구,동대문구 용두동(경동시장_일반국도6호선_진출_1 부근),9,9,127.0373987,37.57821158
151,151,동대문구,동대문구 청량리동(옥치과의원 부근),6,6,127.0468332,37.58116344
152,152,동대문구,동대문구 휘경동(백합빌딩 부근),5,5,127.0603876,37.58958483
153,153,동대문구,동대문구 이문동(외대앞역지하차도(서측) 부근),4,4,127.0618577,37.59571493
154,154,동대문구,동대문구 전농동(전농파출소앞 부근),4,4,127.0473577,37.57577006
155,155,동대문구,동대문구 답십리동(답십리사거리 부근),3,3,127.0573698,37.57318705
156,156,동대문구,동대문구 회기동(회기역앞_이문로_진입_1 부근),3,3,127.0550314,37.58934843
157,157,동대문구,동대문구 장안동(경찰수사연구소B 부근),3,3,127.0723265,37.58162473
158,158,동대문구,동대문구 청량리동(떡전교사거리_일반국도6호선_진 부근),3,3,127.0501374,37.58383167
291,291,동대문구,동대문구 제기동(우리은행청량리중앙지점 부근),13,13,127.0414545,37.57907911
292,292,동대문구,동대문구 청량리동(청량리역_홍릉길_진입_1 부근),13,13,127.0454923,37.58089967
293,293,동대문구,동대문구 신설동(신설동역_보문로_진출_1 부근),8,8,127.0231843,37.5762978
294,294,동대문구,동대문구 제기동(롯데불로장생센터 부근),7,8,127.0367415,37.57854701
295,295,동대문구,동대문구 휘경동(위생병원앞 부근),6,6,127.0620507,37.58992451
296,296,동대문구,동대문구 전농동(동화빌딩 부근),6,6,127.0684434,37.577404
297,297,동대문구,동대문구 제기동(식당재료유통할인 부근),5,5,127.0399303,37.58305052
298,298,동대문구,동대문구 장안동(장한평역_장한로_진입_1 부근),4,5,127.0670183,37.56265023
299,299,동대문구,동대문구 신설동(용두동사거리_일반국도6호선_진 부근),4,4,127.0289018,37.5770724
300,300,동대문구,동대문구 전농동(전농굴다리 부근),4,4,127.046075,37.57650153
301,301,동대문구,동대문구 이문동(우영목욕탕 부근),3,3,127.0580445,37.59425954
302,302,동대문구,동대문구 이문동(신이문역 및 이문기지창 부근),3,3,127.0672855,37.60331978
303,303,동대문구,동대문구 답십리동(동탑초등학교 부근),3,3,127.064119,37.56933637
304,304,동대문구,동대문구 전농동(떡전교사거리_전농로_진입_1 부근),3,4,127.0516769,37.58526578
305,305,동대문구,동대문구 청량리동(홍파초교_고산자로_진출_1 부근),3,3,127.0385876,37.58701233
306,306,동대문구,동대문구 신설동(강원금속(주) 부근),3,3,127.0328036,37.57082662
307,307,동대문구,동대문구 전농동(전농동사거리_사가정길_진출_1 부근),3,3,127.0590543,37.57774141
457,457,동대문구,동대문구 제기동(우리은행청량리중앙지점 부근),13,13,127.0413888,37.57906448
