,구,지점,발생건수,사상자수,X,Y
0,종로구,종로구 교북동(독립문_의주로_진출_1 부근),3,3,126.96063,37.57193743
1,종로구,종로구 충신동(이화사거리 부근),5,5,127.0044025,37.57610432
2,종로구,종로구 장사동(종묘공원 부근),6,6,126.9936466,37.57070618
3,종로구,종로구 창신동(동묘앞역_다산로_진입 부근),6,6,127.0168556,37.57235887
4,중구,중구 인현동1가(대림상가앞 부근),3,3,126.9953415,37.56637998
5,중구,중구 의주로1가(청암빌딩 부근),4,4,126.9714998,37.55812583
6,중구,중구 신당동(약수역_다산로_진출_1 부근),8,8,127.0105388,37.55407588
7,용산구,용산구 한강로2가(철도건설본부 부근),3,3,126.9668147,37.52917496
8,용산구,용산구 한남동(순천향병원 부근),3,3,127.0044759,37.5334617
9,용산구,용산구 이태원동(그랜드하얏트서울호텔 부근),3,3,126.9961857,37.54118464
10,성동구,성동구 행당동(무학여고앞 부근),3,3,127.0326072,37.55834907
11,성동구,성동구 도선동(왕십리역_왕십리길_진입_1 부근),4,4,127.0351328,37.56157085
12,광진구,광진구 구의동(자양사거리_구의로_진출_1 부근),4,4,127.085717,37.53750213
13,광진구,광진구 구의동(구의사거리 부근),5,5,127.0872497,37.54550866
14,동대문구,동대문구 답십리동(답십리사거리 부근),4,5,127.057404,37.5718314
15,동대문구,동대문구 제기동(식당재료유통할인 부근),4,4,127.0399796,37.5827785
16,동대문구,동대문구 회기동(회기역앞_회기로_진출_1 부근),4,5,127.054378,37.58994844
17,동대문구,동대문구 신설동(신설동역_난정로_진입_1 부근),4,4,127.0229655,37.57507394
18,동대문구,동대문구 제기동(홍파초교후문 부근),4,5,127.0404515,37.58632729
19,동대문구,동대문구 휘경동(위생병원앞 부근),4,5,127.0623521,37.59017101
20,동대문구,동대문구 용두동(용두 치안센터 부근),6,6,127.0337267,37.57808582
21,동대문구,동대문구 청량리동(청량리역_일반국도6호선_진입_1 부근),16,16,127.0441026,37.57989479
22,중랑구,중랑구 면목동(면목역 부근),3,3,127.0874281,37.58902446
23,중랑구,중랑구 상봉동(한일써너스빌리젠시2 부근),3,3,127.0939661,37.59846342
24,중랑구,중랑구 신내동(중랑구청사거리 부근),4,4,127.0947748,37.60681972
25,중랑구,중랑구 면목동(동원사거리 부근),4,4,127.0928964,37.58947984
26,중랑구,중랑구 중화동(대원메디컬빌딩 부근),5,5,127.0781444,37.6015389
27,중랑구,중랑구 상봉동(우리은행중랑교지점 부근),5,6,127.0757533,37.59381421
28,중랑구,중랑구 망우동(원동빌딩 부근),6,6,127.098716,37.5994224
29,성북구,성북구 동소문동7가(흥천사입구 부근),3,3,127.015401,37.59599144
30,성북구,성북구 석관동(석관동제일은행 부근),3,3,127.061388,37.60633553
31,성북구,성북구 정릉동(국민은행정릉 부근),3,3,127.0099448,37.6087987
32,성북구,성북구 안암동3가(제삼주유소 부근),3,3,127.0227193,37.5804992
33,성북구,성북구 동소문동1가(실과바늘 부근),4,4,127.0175849,37.59328284
34,성북구,성북구 정릉동(정릉2동 주민센터 부근),4,4,127.0113638,37.60530242
35,성북구,성북구 하월곡동(생명의전화(종합복지관) 부근),7,7,127.0379558,37.6040376
36,성북구,성북구 종암동(종암2치안센터 부근),7,7,127.0333943,37.60089177
37,강북구,강북구 수유동(수유역 부근),3,3,127.0249293,37.6379293
38,강북구,강북구 수유동((주)월드패션투어 부근),4,4,127.0151168,37.64618949
39,강북구,강북구 미아동(방천시장입구 부근),7,7,127.0347051,37.61222277
40,도봉구,도봉구 방학동(LG대경주유소 부근),3,3,127.042843,37.66530523
41,도봉구,도봉구 창동(창동역서측 부근),3,3,127.0461128,37.65377138
42,도봉구,도봉구 쌍문동(숭미초교 부근),3,3,127.0278802,37.65039312
43,도봉구,도봉구 도봉동(온누리도봉약국 부근),3,3,127.0448719,37.67679876
44,도봉구,도봉구 창동(창원초교 부근),3,3,127.0413923,37.65230415
45,도봉구,도봉구 방학동(아람미술놀이방 부근),4,4,127.0332732,37.6689518
46,도봉구,도봉구 방학동(동부센트리빌아파트 부근),6,6,127.0400351,37.66286357
47,노원구,노원구 하계동(한성여객(주) 부근),3,3,127.0714619,37.63790898
48,노원구,노원구 월계동(월계4동사무소앞 부근),3,3,127.0611846,37.63170214
49,노원구,노원구 공릉동(공릉역 부근),3,3,127.0731473,37.62513844
50,노원구,노원구 상계동(상계초교입구 부근),4,4,127.0666087,37.6571255
51,노원구,노원구 상계동(상계벽산아파트101동 부근),4,4,127.0717682,37.65941766
52,노원구,노원구 월계동(월계초교앞 부근),4,4,127.0513406,37.62550656
53,은평구,은평구 수색동(수색차량사무소입구 부근),2,2,126.884939,37.5889542
54,은평구,은평구 갈현동(길마독사거리 부근),3,3,126.9178687,37.61526123
55,은평구,은평구 불광동(불광동라비앙프라자 부근),3,3,126.9320467,37.61257381
56,은평구,은평구 증산동(청솔식당 부근),3,3,126.9008894,37.57901618
57,은평구,은평구 녹번동(선학수련원 부근),4,4,126.9285366,37.60163346
58,은평구,은평구 신사동(신사사거리 부근),4,5,126.9088059,37.5961848
59,은평구,은평구 대조동(역촌사거리 부근),4,4,126.9198475,37.6084625
60,은평구,은평구 불광동(지현한방병원 부근),4,5,126.92014,37.62542943
61,은평구,은평구 불광동(연천초교길-연서로진입로 부근),4,4,126.9260899,37.62146747
62,은평구,은평구 대조동(대조.불광시장 부근),5,8,126.9266134,37.6086826
63,은평구,은평구 불광동(불광전화국앞 부근),5,7,126.9282919,37.61259233
64,은평구,은평구 대조동(신한은행연신내지점 부근),7,9,126.9212464,37.61928565
